trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-92.17068752993885,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-113.89039117349851,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-105.45013731876683,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-169.21523706059472,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-42.603594934996735,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,13,-12.333760768182195,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-132.13929773549347,"{0: 13, 1: 0, 2: 1, 3: 5, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,20,-5.984105158540629,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-31.581041128237676,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-56.9016400676338,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,16,7.750819726284078,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-3.1139542480679374,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-130.62770240791403,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-13.190549888852063,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,18,-54.52585360438823,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-20.04342869113759,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-5.079661360969286,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-28.985762848094947,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,-26.28223772006098,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,16.623164843460977,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,19.306733875590233,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-60.108495427072,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,7,-10.22909948296454,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,0,-53.868067750977815,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-19.407408352044296,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,9,-25.069627899865942,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,-94.06126188459334,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,4,-57.20177996537462,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,0,-88.83823066747232,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-24.64491235446133,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
