trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-200.83846860841754,"{0: 12, 1: 6, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-123.2527342671577,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-126.87350089471364,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-119.72176446636429,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-93.81311888019314,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-62.845713468913964,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-123.90284556912384,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",35,4,-204.4377778722722,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,3,-144.4146241918625,"{0: 8, 1: 5, 2: 1, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-21.469591396796666,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-44.75424031918821,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-83.75007556402547,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-191.21481919980073,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-113.24462680088921,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-147.14404710862584,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-182.57940431406664,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-130.78730997399632,"{0: 9, 1: 5, 2: 2, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-130.92542906994473,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",30,0,-69.45371391476607,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
