trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-65.38235881714604,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-53.930689421389346,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-73.30606881807407,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-222.03111131170533,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-40.237261465055404,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-136.0155984680945,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-97.57994267700835,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-45.97163570950941,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",35,0,-132.3993678440206,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-145.25451841458235,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-109.02465179097322,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-170.94162294376028,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-83.04944082758287,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-84.4179352710216,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-90.76212885432314,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-170.33842547922953,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-63.648243538808266,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-158.58293925963156,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",35,0,-74.2175125815511,"{0: 24, 1: 2, 2: 9, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-124.804745032367,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",35,0,-249.07511380577623,"{0: 18, 1: 7, 2: 5, 3: 1, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",30,0,-211.5381371229138,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-177.34518424346209,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",35,8,-93.461534726156,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-117.1159938848223,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-122.37362030274511,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-82.82851753134995,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-173.76648513773148,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-103.29766157849781,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,12,-16.538530461648385,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
